# stimulus for Qwen/Qwen3-1.7B: [BOS/EOS] + 50 random tokens, repeated once
# pos	token_id	decoded
0	151645	prefix	'<|im_end|>'
1	940	copy1	'uth'
2	104751	copy1	'策划'
3	24821	copy1	'icates'
4	141120	copy1	'مصل'
5	11459	copy1	' pil'
6	96507	copy1	' helium'
7	137155	copy1	'เรียกว่า'
8	51303	copy1	'_sat'
9	149897	copy1	'𝘞'
10	9811	copy1	'igure'
11	46613	copy1	' Dana'
12	122226	copy1	'呇'
13	126372	copy1	'取り'
14	119639	copy1	'汜'
15	133190	copy1	'сход'
16	26968	copy1	' clusters'
17	11480	copy1	' abuse'
18	79116	copy1	'finger'
19	34490	copy1	'.light'
20	116161	copy1	'专员'
21	105446	copy1	'的形式'
22	91431	copy1	'Nx'
23	143191	copy1	'אוגוס'
24	18606	copy1	'::__'
25	96472	copy1	'getPage'
26	52433	copy1	'bolt'
27	1829	copy1	' cor'
28	75545	copy1	'spam'
29	10061	copy1	'Let'
30	91848	copy1	' depletion'
31	151049	copy1	'첮'
32	105620	copy1	'選擇'
33	81907	copy1	'repositories'
34	83536	copy1	' SND'
35	109299	copy1	'中国市场'
36	17733	copy1	' dia'
37	21630	copy1	'verted'
38	71887	copy1	'.Ar'
39	111663	copy1	'发光'
40	130368	copy1	' עליו'
41	128210	copy1	'уется'
42	11875	copy1	',&'
43	125656	copy1	' מג'
44	54449	copy1	'_markup'
45	33651	copy1	' deposits'
46	151325	copy1	'𝔷'
47	31379	copy1	' Chamber'
48	113555	copy1	'達到'
49	62734	copy1	'ThanOr'
50	5415	copy1	'Left'
51	940	copy2	'uth'
52	104751	copy2	'策划'
53	24821	copy2	'icates'
54	141120	copy2	'مصل'
55	11459	copy2	' pil'
56	96507	copy2	' helium'
57	137155	copy2	'เรียกว่า'
58	51303	copy2	'_sat'
59	149897	copy2	'𝘞'
60	9811	copy2	'igure'
61	46613	copy2	' Dana'
62	122226	copy2	'呇'
63	126372	copy2	'取り'
64	119639	copy2	'汜'
65	133190	copy2	'сход'
66	26968	copy2	' clusters'
67	11480	copy2	' abuse'
68	79116	copy2	'finger'
69	34490	copy2	'.light'
70	116161	copy2	'专员'
71	105446	copy2	'的形式'
72	91431	copy2	'Nx'
73	143191	copy2	'אוגוס'
74	18606	copy2	'::__'
75	96472	copy2	'getPage'
76	52433	copy2	'bolt'
77	1829	copy2	' cor'
78	75545	copy2	'spam'
79	10061	copy2	'Let'
80	91848	copy2	' depletion'
81	151049	copy2	'첮'
82	105620	copy2	'選擇'
83	81907	copy2	'repositories'
84	83536	copy2	' SND'
85	109299	copy2	'中国市场'
86	17733	copy2	' dia'
87	21630	copy2	'verted'
88	71887	copy2	'.Ar'
89	111663	copy2	'发光'
90	130368	copy2	' עליו'
91	128210	copy2	'уется'
92	11875	copy2	',&'
93	125656	copy2	' מג'
94	54449	copy2	'_markup'
95	33651	copy2	' deposits'
96	151325	copy2	'𝔷'
97	31379	copy2	' Chamber'
98	113555	copy2	'達到'
99	62734	copy2	'ThanOr'
100	5415	copy2	'Left'
