# stimulus for Qwen/Qwen3.5-2B: [BOS/EOS] + 50 random tokens, repeated once
# pos	token_id	decoded
0	248046	prefix	'<|im_end|>'
1	82604	copy1	' accr'
2	223279	copy1	'ডি'
3	244853	copy1	'adres'
4	125120	copy1	'抗旱'
5	112963	copy1	'要加强'
6	27899	copy1	'userName'
7	87747	copy1	' queda'
8	37223	copy1	' Bangladesh'
9	142857	copy1	'回收利用'
10	54483	copy1	' PERSON'
11	111381	copy1	'文案'
12	75506	copy1	'Psy'
13	136996	copy1	'零下'
14	46679	copy1	'ayette'
15	48198	copy1	'ellery'
16	226776	copy1	' ukr'
17	150616	copy1	'ностью'
18	221068	copy1	' weiterlesen'
19	10554	copy1	'.Ass'
20	184513	copy1	' garis'
21	187366	copy1	' подъ'
22	87079	copy1	'.Restrict'
23	203351	copy1	'icto'
24	181934	copy1	'ненные'
25	237144	copy1	' зроб'
26	160081	copy1	'あって'
27	52389	copy1	'*ft'
28	223769	copy1	'στεί'
29	160589	copy1	' 답'
30	158280	copy1	'เลีย'
31	247561	copy1	'方針'
32	209812	copy1	'대책'
33	173683	copy1	' produção'
34	35280	copy1	'Dirty'
35	18675	copy1	' refers'
36	12485	copy1	' Chat'
37	18942	copy1	'/dist'
38	129359	copy1	'移动通信'
39	202671	copy1	' reducción'
40	28608	copy1	' deserves'
41	69458	copy1	'ascending'
42	141923	copy1	'培训活动'
43	80856	copy1	'/accounts'
44	156849	copy1	' الإعلام'
45	196851	copy1	'нав'
46	57117	copy1	'_robot'
47	27283	copy1	' reck'
48	240275	copy1	' yaşan'
49	170382	copy1	' чу'
50	33191	copy1	'_arch'
51	82604	copy2	' accr'
52	223279	copy2	'ডি'
53	244853	copy2	'adres'
54	125120	copy2	'抗旱'
55	112963	copy2	'要加强'
56	27899	copy2	'userName'
57	87747	copy2	' queda'
58	37223	copy2	' Bangladesh'
59	142857	copy2	'回收利用'
60	54483	copy2	' PERSON'
61	111381	copy2	'文案'
62	75506	copy2	'Psy'
63	136996	copy2	'零下'
64	46679	copy2	'ayette'
65	48198	copy2	'ellery'
66	226776	copy2	' ukr'
67	150616	copy2	'ностью'
68	221068	copy2	' weiterlesen'
69	10554	copy2	'.Ass'
70	184513	copy2	' garis'
71	187366	copy2	' подъ'
72	87079	copy2	'.Restrict'
73	203351	copy2	'icto'
74	181934	copy2	'ненные'
75	237144	copy2	' зроб'
76	160081	copy2	'あって'
77	52389	copy2	'*ft'
78	223769	copy2	'στεί'
79	160589	copy2	' 답'
80	158280	copy2	'เลีย'
81	247561	copy2	'方針'
82	209812	copy2	'대책'
83	173683	copy2	' produção'
84	35280	copy2	'Dirty'
85	18675	copy2	' refers'
86	12485	copy2	' Chat'
87	18942	copy2	'/dist'
88	129359	copy2	'移动通信'
89	202671	copy2	' reducción'
90	28608	copy2	' deserves'
91	69458	copy2	'ascending'
92	141923	copy2	'培训活动'
93	80856	copy2	'/accounts'
94	156849	copy2	' الإعلام'
95	196851	copy2	'нав'
96	57117	copy2	'_robot'
97	27283	copy2	' reck'
98	240275	copy2	' yaşan'
99	170382	copy2	' чу'
100	33191	copy2	'_arch'
