# stimulus for gpt2: [BOS/EOS] + 50 random tokens, repeated once
# pos	token_id	decoded
0	50256	prefix	'<|endoftext|>'
1	32487	copy1	' sexes'
2	27591	copy1	' spit'
3	7093	copy1	' magazine'
4	953	copy1	' mod'
5	10379	copy1	'fil'
6	5139	copy1	'etic'
7	38222	copy1	' McF'
8	10161	copy1	'Em'
9	28812	copy1	'employment'
10	40410	copy1	' APR'
11	8215	copy1	' doors'
12	14673	copy1	' trop'
13	11984	copy1	' anime'
14	16660	copy1	' Abraham'
15	49908	copy1	'acers'
16	34954	copy1	' grit'
17	35078	copy1	' restraining'
18	11511	copy1	' fo'
19	47418	copy1	'Winged'
20	15036	copy1	'clip'
21	44506	copy1	'cli'
22	263	copy1	'er'
23	20248	copy1	' 129'
24	44628	copy1	' Yelp'
25	6759	copy1	'mat'
26	21122	copy1	' wiped'
27	28312	copy1	' unfocused'
28	18062	copy1	' Verizon'
29	37559	copy1	'Scot'
30	45399	copy1	' Treasurer'
31	3859	copy1	' platform'
32	41268	copy1	'gat'
33	43524	copy1	'onis'
34	47827	copy1	' consultancy'
35	38160	copy1	'FontSize'
36	27999	copy1	'lis'
37	17065	copy1	' eaten'
38	19541	copy1	'terrorism'
39	15504	copy1	' folk'
40	36539	copy1	' knocks'
41	40354	copy1	' degrading'
42	29225	copy1	']."'
43	7824	copy1	' API'
44	45124	copy1	'functional'
45	3205	copy1	' Up'
46	2397	copy1	'ateg'
47	4355	copy1	'acity'
48	5026	copy1	' sem'
49	37283	copy1	'322'
50	16326	copy1	' tokens'
51	32487	copy2	' sexes'
52	27591	copy2	' spit'
53	7093	copy2	' magazine'
54	953	copy2	' mod'
55	10379	copy2	'fil'
56	5139	copy2	'etic'
57	38222	copy2	' McF'
58	10161	copy2	'Em'
59	28812	copy2	'employment'
60	40410	copy2	' APR'
61	8215	copy2	' doors'
62	14673	copy2	' trop'
63	11984	copy2	' anime'
64	16660	copy2	' Abraham'
65	49908	copy2	'acers'
66	34954	copy2	' grit'
67	35078	copy2	' restraining'
68	11511	copy2	' fo'
69	47418	copy2	'Winged'
70	15036	copy2	'clip'
71	44506	copy2	'cli'
72	263	copy2	'er'
73	20248	copy2	' 129'
74	44628	copy2	' Yelp'
75	6759	copy2	'mat'
76	21122	copy2	' wiped'
77	28312	copy2	' unfocused'
78	18062	copy2	' Verizon'
79	37559	copy2	'Scot'
80	45399	copy2	' Treasurer'
81	3859	copy2	' platform'
82	41268	copy2	'gat'
83	43524	copy2	'onis'
84	47827	copy2	' consultancy'
85	38160	copy2	'FontSize'
86	27999	copy2	'lis'
87	17065	copy2	' eaten'
88	19541	copy2	'terrorism'
89	15504	copy2	' folk'
90	36539	copy2	' knocks'
91	40354	copy2	' degrading'
92	29225	copy2	']."'
93	7824	copy2	' API'
94	45124	copy2	'functional'
95	3205	copy2	' Up'
96	2397	copy2	'ateg'
97	4355	copy2	'acity'
98	5026	copy2	' sem'
99	37283	copy2	'322'
100	16326	copy2	' tokens'
